bin_start_ts,start_block,end_block,num_swaps,total_eth,total_usdc,vwap
1705227000,19004442,19004485,20,53.80252299552143,137154.16695800002,2549.214410807777
1705227600,19004489,19004537,25,176.02872178629903,448713.61173599993,2549.093166061523
1705228200,19004539,19004586,30,190.9896961525719,486067.803921,2544.9949065980254
1705228800,19004588,19004636,22,264.47514697812846,673093.749273,2545.0170156391428
1705229400,19004637,19004686,21,146.83666805356586,373103.400548,2540.941615563575
1705230000,19004691,19004736,35,901.8787554570972,2289566.345105,2538.6631309932386
1705230600,19004738,19004785,26,206.31473563702045,523598.824898,2537.8644103210972
1705231200,19004786,19004831,26,310.0753514531955,788583.5942200001,2543.1998723027596
1705231800,19004837,19004884,24,191.29309498859902,486315.207982,2542.2517629869712
1705232400,19004887,19004935,27,181.81900210486177,461516.41520299995,2538.328831751185
1705233000,19004936,19004984,33,39.4272920157659,100021.601481,2536.8620660278693
1705233600,19004987,19005035,41,3784.8716158840484,9554757.77628,2524.460205250121
1705234200,19005036,19005084,20,276.8315937251638,703171.1196829999,2540.068170040962
1705234800,19005086,19005135,23,268.4960901784554,682805.0841460001,2543.072726653766
1705235400,19005141,19005183,24,60.89908266968763,154904.134962,2543.6201691606625
1705236000,19005186,19005232,21,129.472150215861,328969.18970600003,2540.8490486759492
1705236600,19005235,19005277,15,220.40003871995182,559195.108232,2537.1824409819337
1705237200,19005285,19005333,31,134.4109960490218,340863.796983,2535.981482189758
1705237800,19005334,19005381,25,220.93927917761562,560021.803185,2534.731738374108
1705238400,19005383,19005430,30,129.1244051580772,327131.176923,2533.457377964438
1705239000,19005434,19005476,20,95.01086702437271,240794.94974699998,2534.3937729273634
1705239600,19005487,19005526,34,612.7310639707517,1549666.994567,2529.1144609586368
1705240200,19005532,19005579,30,261.16866887315825,661673.4089929999,2533.5099031896307
1705240800,19005581,19005629,38,360.36613790754046,913946.9389029999,2536.162093946497
1705241400,19005633,19005679,33,253.3270150081311,643101.881809,2538.6233749620355
1705242000,19005680,19005728,34,148.73838681887506,376966.67176900007,2534.427593517254
1705242600,19005730,19005778,30,160.31278533631058,405986.410627,2532.4643307475785
1705243200,19005780,19005829,39,230.94625552364153,585428.400467,2534.9118527148876
1705243800,19005830,19005876,36,202.82583980392354,514981.6115029999,2539.033547208998
1705244400,19005880,19005929,50,282.02576701127776,716759.0836100001,2541.466658191335
1705245000,19005930,19005978,31,341.1964485077638,865950.34717,2537.9817139283487
1705245600,19005979,19006028,48,58.840698560640206,149270.337208,2536.855286552463
1705246200,19006029,19006075,36,241.36150734735938,612488.3732719999,2537.638996389458
1705246800,19006079,19006126,44,414.4224183550804,1052771.191404,2540.333593879029
