block,timestamp,v2_usdc,v2_eth,price_v2,v3_005_usdc,v3_005_eth,price_v3_005,v3_03_usdc,v3_03_eth,price_v3_03
19232544,1707990611,54587745.313526,19585.06569145669,2787.2127759744008,109370111.054743,7247.70973447345,2790.1519364337046,34516266.245706,7820.167341708086,2787.1106994715715
19232593,1707991199,54590501.03448,19584.08392746449,2787.493213196606,109467372.031965,7212.9323257394435,2791.362157851362,34516266.245706,7820.167341708086,2787.1106994715715
19232594,1707991211,54596425.186079,19581.965271121568,2788.097334979696,109467372.031965,7212.9323257394435,2791.362157851362,34516266.245706,7820.167341708086,2787.1106994715715
19232642,1707991799,54617178.814077,19574.556646659352,2790.2128155427786,109999355.668222,7037.9212948307895,2797.672264546953,34650990.603835,7772.013331612837,2791.706165000008
19232643,1707991811,54617178.814077,19574.556646659352,2790.2128155427786,109993651.342285,7039.961294830789,2797.6017818388195,34650990.603835,7772.013331612837,2791.706165000008
19232691,1707992387,54647127.613117,19563.865920824646,2793.268356789758,110209091.777998,6975.078007218399,2800.0383636736137,34287320.929047,7768.8576271402735,2791.9520790774204
19232693,1707992411,54647127.613117,19563.865920824646,2793.268356789758,110359388.872368,6921.445893692716,2801.920317499639,34372340.637892,7738.51362885327,2794.9624218406884
19232741,1707992999,54773652.517847,19590.210052283317,2795.9706594091836,109984902.159638,7055.422670511106,2797.2625290884475,34377136.982644,7736.802761342226,2795.132297170453
19232743,1707993023,54773652.517847,19590.210052283317,2795.9706594091836,109942968.082443,7070.422670511107,2796.744791306887,34377136.982644,7736.802761342226,2795.132297170453
19232789,1707993587,54775855.313674,19589.430357562065,2796.1943922748624,110173238.698879,6988.275446949879,2799.5872834786455,34540212.755544,7808.543889458535,2795.132297170453
19232791,1707993611,54775855.313674,19589.430357562065,2796.1943922748624,110169062.324209,6989.7682530998245,2799.5355157511485,34523186.315984,7808.232034716693,2795.132297170453
19232840,1707994199,54783998.638223,19586.52969603708,2797.0242553640005,110285014.627473,6945.135360361242,2801.0861788603825,34527186.315984,7806.8053029208895,2795.2667012694064
19232842,1707994223,54784089.935687,19586.497153087123,2797.033563862756,110290261.203748,6943.263267966987,2801.151191949766,34527186.315984,7806.8053029208895,2795.2667012694064
19232890,1707994799,54762087.87928,19594.406535715065,2794.7816525835674,110288700.279062,6949.594822372899,2801.0737758047717,34527186.315984,7806.8053029208895,2795.2667012694064
19232891,1707994823,54762087.87928,19594.406535715065,2794.7816525835674,110269068.325412,6956.607355253637,2800.832094658054,34527186.315984,7806.8053029208895,2795.2667012694064
19232939,1707995399,54775720.763604,19589.561771120607,2796.168765977994,110029604.794456,6966.246397117522,2800.5822976642457,34527887.910328,7806.421128239932,2795.3016954664513
19232941,1707995423,54775651.069187,19589.58677112061,2796.1616398125584,110030799.994456,6965.819843230711,2800.5969996729973,34527887.910328,7806.421128239932,2795.3016954664513
19232989,1707995999,54789234.327495,19584.765916429158,2797.5434866716337,110171979.22593,6994.404960036912,2799.6143206847732,34536807.030147,7809.72322451591,2795.3016954664513
19232990,1707996011,54789266.223756,19584.754549115685,2797.5467390389076,110171979.22593,6994.404960036912,2799.6143206847732,34536807.030147,7809.72322451591,2795.3016954664513
