bin,liquidity_usd,opt_capital_kept,uni_volume_ether,opt_user_kept_ether,uni_volume_usd,opt_user_kept,opt_price,uni_price,opt_fee,opt_lp_return_bin,uni_lp_return_bin,opt_log_cum_return,uni_log_cum_return,opt_total_income,opt_il_usd,opt_net_income,opt_lp_surplus_volume,opt_protocol_objective,opt_lp_return_year,check_opt_return,opt_solve_time_ms,opt_total_sweep_time_ms
19232791,295622044.68921536,36533391.9625637,206.77229896658147,206.36174727999264,579376.265446,577647.673157745,2799.1993708697855,2802.0013722420276,0.0001,1.581149852577798e-06,7.224957751609223e-05,0.00011320492889146347,-0.009422184590343727,57.764767315774506,0.0,57.764767315774506,577647.673157745,1155295.34631549,0.08310523625148906,0.0831052362453587,298.5355019918643,14377.998439013027
19232842,295642064.25315654,33608267.28197776,207.93143322681385,197.31205663342686,582169.9365659999,552437.626728079,2799.8168796872696,2799.81687968727,0.0001,1.6437551573041692e-06,-0.00012779183848044367,0.00011484868269782062,-0.00954998459489687,55.24376267280791,0.0,55.24376267280791,552437.626728079,1104875.253456158,0.08639577106790713,0.0863957710665615,301.44117499003187,14457.859331014333
19232891,295580945.2265422,23519860.120563246,160.28829935839624,160.28829935839622,448949.717802,448949.71780199994,2800.8888958149837,2800.8888958149837,0.0001,1.9088111727734573e-06,-0.0004890955596379945,0.00011675749204872239,-0.01003919980078193,44.894971780199995,0.0,44.894971780199995,448949.71780199994,897899.4356039999,0.1003271152409729,0.1003271152415963,322.43462500628084,9147.338733018842
19232941,295415563.58165157,48942098.01285649,280.5527601220304,280.55276012203046,785509.0361489998,783938.018076702,2794.262361688108,2799.8620858598274,0.0001,1.6017662705648032e-06,0.0007705468654459,0.0001183592570364054,-0.009268949654157824,78.3938018076702,0.0,78.3938018076702,783938.018076702,1567876.036153404,0.08418883518088606,0.08418883518162387,276.3570259849075,10851.41819200362
19232990,295702559.23059875,68403180.91951141,443.3082220712502,443.3082220712502,1240161.0493210002,1240161.0493210002,2797.5142069927065,2797.5142069927065,0.0001,1.8130166355571562e-06,7.665478975289402e-05,0.00012017227202838066,-0.009192297802233261,124.01610493210003,0.0,124.01610493210003,1240161.0493210002,2480322.0986420005,0.09529215436488413,0.0952921543568918,268.48479799809866,8586.203232000116
19233040,295732549.89938444,230164021.71009803,666.6270901878838,666.6270901878838,1861971.318381,1863833.289699381,2795.915913309304,2793.122790518785,0.00025,2.0244620292633883e-06,-0.0007116125071159569,0.00012219673200850875,-0.00990416362571186,465.9583224248453,2.9802322387695312e-08,465.9583224546476,1863833.2898185903,3727666.5795179713,0.10640572425808369,0.10640572425373797,77.30157100013457,4431.880760996137
19233089,295497261.7619072,135565892.69580114,359.4339812095949,359.4339812095949,1003651.7511000001,1003651.7511000001,2792.311811260677,2792.311811260677,0.00025,1.85085594034947e-06,-9.414236549429213e-05,0.00012404758623596555,-0.009998310422876812,250.91293777500005,2.9802322387695312e-08,250.91293780480237,1003651.7512192094,2007303.5023192095,0.09728098822476815,0.0972809882190894,184.67789998976514,9095.01444498892
19233139,295449337.6161463,37246218.467195176,234.68769510955252,234.68769510955252,655398.92256,653432.7257923201,2784.264958958742,2792.642887621607,0.0001,1.7543599129193225e-06,0.00019232774614818298,0.00012580194460997573,-0.009806001169338533,65.343272579232,7.450580596923828e-09,65.34327258668259,653432.7258668259,1306865.451659146,0.09220915702303958,0.09220915701600349,435.6817220104858,19346.934800996678
19233189,295514088.6149636,112947636.81545597,730.2118298603739,729.8509522752385,2042822.8212939997,2039771.4257167939,2794.7780562017592,2797.575631833593,0.0001,1.8059443147531774e-06,-0.0008920552922874003,0.00012760788729401914,-0.01069845457972805,203.9771425716794,0.0,203.9771425716794,2039771.4257167939,4079542.8514335877,0.09492043318342701,0.09492043318376371,274.9499839846976,7813.365639012773
19233239,295253529.3387631,125288269.35775504,825.248390543894,824.913250356394,2298947.834025,2304908.254958516,2794.121992782523,2785.7646986864643,0.0001,1.8396840078666628e-06,-0.00118644039281025,0.00012944756960960092,-0.01188559935013094,230.49082549585162,1.4901161193847656e-08,230.49082551075279,2304908.2551075276,4609816.510066044,0.0966937914534718,0.096693791450666,346.33330698125064,5840.799458004767
19233290,294898970.8639798,82202885.74208073,502.791115676262,501.94084493744174,1403475.5979350002,1399701.0762661032,2788.5777584817824,2791.369127609392,0.0001,1.7027395858799854e-06,0.001587910068484127,0.00013115030774571535,-0.01029894867781064,139.97010762661031,0.0,139.97010762661031,1399701.0762661032,2799402.1525322064,0.08949599263385204,0.08949599263595238,286.3318510062527,9849.590562022058
19233339,295314250.51228607,64691029.296537474,403.71865194741997,403.7186519474199,1127618.320856,1126490.7025351438,2790.2864955614123,2793.079575136549,0.0001,1.7413398964042116e-06,-4.329610358134902e-05,0.00013289164612608417,-0.010342245718695324,112.64907025351438,0.0,112.64907025351438,1126490.7025351438,2252981.4050702876,0.09152482495500536,0.0915248249565848,323.7743260106072,12465.811168018263
19233388,295333979.905318,28009343.899904747,190.02388320210628,190.0238832021063,531053.6944260001,529460.5333427222,2786.284147133214,2794.6681515879777,0.0001,1.8902996629796916e-06,0.0001294702619066628,0.00013478194400249103,-0.010212783837339763,52.94605333427222,0.0,52.94605333427222,529460.5333427222,1058921.0666854444,0.0993541502862126,0.09935415028491455,198.52796700433828,9476.649181015091
