bin,liquidity_usd,opt_capital_kept,user_demand_usd,OK_user_demand_usd_inflation,opt_user_kept,uni_user_kept,opt_price,uni_price,check_price,opt_fee,uni_fee,opt_lp_surplus,opt_protocol_objective,opt_total_income,uni_total_income,opt_il_usd,uni_il_usd,opt_net_income,uni_net_income,opt_lp_return_bin,uni_lp_return_bin,uni_lp_return_bin_check,opt_log_cum_return_bin,uni_log_cum_return_bin,opt_lp_return_year,uni_lp_return_year,opt_solve_time_ms,opt_total_sweep_time_ms,check_opt_return
37,100000000,100000000.0,190258,189848.9829416037,189425.72329811865,183208.79438734948,1933.860153147409,1936.6548811998,1933.860153147409,0.003,0.003,189833.82847164923,379667.65694329847,569.5014854149478,551.2983233633289,0.0,-14.642495065927505,569.5014854149478,536.6558282974014,5.695014854149477e-06,5.4565559754582995e-06,5.456555975455623e-06,0.00021644156876084191,0.00012885581465295673,0.29932998073409656,0.28679658207008824,944.215441995766,968.3223440079018,0.2993299807301044
38,100000000,100000000.0,190258,189936.5039069964,189142.56425180423,188697.18121052874,1937.1335022449402,1936.881491943633,1937.1335022449402,0.003,0.003,189462.71648255925,378925.4329651185,568.3881494476777,566.8429308822904,0.0,-0.4870515763759613,568.3881494476777,566.3558793059144,5.683881494476777e-06,5.753639856426039e-06,5.753639856434967e-06,0.0002221254341022268,0.00013460943795716624,0.2987448113496994,0.3024113108537526,950.1101169735193,974.5631350087933,0.2987448113536477
39,100000000,100000000.0,190258,191146.0250987463,190765.96290044524,164122.90428713284,1928.1339786151543,1934.3189683236924,1928.1339786151543,0.003,0.003,189879.7034924634,379759.4069849268,569.6391104773902,494.8433621766155,0.0,-126.55315321683884,569.6391104773902,368.2902089597767,5.696391104773902e-06,3.750170351984625e-06,3.7501703520433098e-06,0.0002278218089826673,0.00013835960127732983,0.2994023164669163,0.1971089537003119,984.1559650085401,1013.6297610006295,0.2994023164660692
40,100000000,100000000.0,190258,189706.66622556158,189588.33285056803,189698.75769660965,1933.7376055472143,1934.3065339981713,1933.7376055472143,0.003,0.003,190139.32271939903,380278.6454387981,570.4179681581971,570.0926299906199,0.0,-0.11807598173618317,570.4179681581971,569.9745540088837,5.704179681581972e-06,5.7954217451087345e-06,5.79542174504164e-06,0.00023352597239538342,0.00014415500622910757,0.2998116840639484,0.30460736692291507,950.201466010185,974.5464930019807,0.299811684061718
41,100000000,100000000.0,190258,189699.21680002369,189152.21094016123,178874.5631581009,1939.433675912551,1935.151871769381,1939.433675912551,0.003,0.003,189709.38286471987,379418.76572943974,569.1281485941596,536.1983091140366,0.0,-25.489398032426834,569.1281485941596,510.7089110816098,5.691281485941596e-06,5.1851512235224505e-06,5.185151223467405e-06,0.0002392172376859669,0.00014934014400975427,0.2991337549010903,0.27253154830834003,947.7990409941413,972.6337160100229,0.2991337549044013
42,100000000,100000000.0,190258,190768.39646363916,190391.03659189245,188415.86647996746,1934.2447656527895,1935.3098357007266,1934.2447656527895,0.003,0.003,189881.6497459239,379763.2994918478,569.6449492377717,566.4011747707772,0.0,0.8753478676080704,569.6449492377717,567.2765226383852,5.696449492377717e-06,5.767167350949915e-06,5.767167350929871e-06,0.0002449136709535918,0.00015510729473072038,0.29940538531937283,0.30312231596592754,964.9554610077757,989.3712430202868,0.29940538532184363
43,100000000,100000000.0,190258,191357.62860164285,190969.12393273064,143658.25617534356,1923.1297090834091,1931.931973610304,1923.1297090834091,0.003,0.003,189871.7278569031,379743.4557138062,569.6151835707093,433.7481720338204,0.0,-234.18266743421555,569.6151835707093,199.56550459960488,5.696151835707093e-06,2.034698162059163e-06,2.0346981620187106e-06,0.0002506098065663462,0.00015714199082268168,0.29938974048476474,0.10694373539782961,961.3436540239491,985.5322939984035,0.2993897404802084
44,100000000,100000000.0,190258,190118.99835354232,189486.42423159748,167414.52984612796,1924.5357663329698,1930.661156144217,1924.5357663329698,0.003,0.003,189624.9633843264,379249.9267686528,568.8748901529792,504.64686168092163,0.0,-57.4615515768528,568.8748901529792,447.18531010406883,5.6887489015297925e-06,4.557669109440948e-06,4.557669109505982e-06,0.0002562985392869756,0.00016169964954599003,0.2990006422644059,0.23955108839221623,937.7425929997116,962.0212089794222,0.299000642262125
45,100000000,100000000.0,190258,189928.78579464447,189432.8008314938,184917.38119382647,1927.8716720006692,1930.718547784631,1927.8716720006692,0.003,0.003,189761.1553183247,379522.3106366494,569.2834659549741,556.382292107989,0.0,0.6693027168512344,569.2834659549741,557.0515948248402,5.692834659549741e-06,5.6724812993022005e-06,5.672481299289559e-06,0.0002619913577423081,0.00016737211475687465,0.29921538970593436,0.2981456170913237,939.493409008719,963.7212840025313,0.29921538970420364
46,100000000,100000000.0,190258,190381.21499441043,190193.9813672639,182107.7204985183,1926.6239506995073,1930.0747890805767,1926.6239506995073,0.003,0.003,190070.88755569156,380141.7751064161,570.2126626521735,548.1856899473627,1.4901161193847656e-08,-16.55082356929779,570.2126626670747,531.6348663780649,5.702126626670747e-06,5.4153820368268315e-06,5.415382036762515e-06,0.0002676934681118958,0.00017278748213054597,0.29970377549781446,0.28463247985561824,949.9306409852579,974.469541979488,0.29970377549779414
47,100000000,100000000.0,190258,191038.35629062858,190814.40415014676,149500.39383877852,1918.75404881804,1926.9959471721734,1918.75404881804,0.003,0.003,190034.9626625191,380069.9253250382,570.1048879875573,451.2381852513922,0.0,-199.93276223540306,570.1048879875573,251.30542301598916,5.701048879875573e-06,2.5650880121083155e-06,2.565088012162692e-06,0.00027339450074084765,0.0001753525668529319,0.2996471291262601,0.13482102591641307,951.0453540133312,975.424122007098,0.2996471291286707
48,100000000,100000000.0,190258,190768.71692684275,190127.37509265324,137799.5523965014,1913.6172518265544,1923.4553920858355,1913.6172518265544,0.003,0.003,189618.37514060308,379236.7502762391,568.8551254069081,416.29422362107704,1.4901161193847656e-08,-273.27201426029205,568.8551254218092,143.02220936078498,5.688551254218093e-06,1.4617841792715056e-06,1.461784179275702e-06,0.00027908303581536945,0.0001768143499637839,0.298990253921703,0.07683137646251033,941.6222000145353,966.5888779854868,0.2989902539245606
49,100000000,100000000.0,190258,191242.58209860456,190408.5288860128,116397.41263699021,1903.765296947814,1917.5858054909895,1903.765296947814,0.003,0.003,189428.24077807387,378856.48155614774,568.2847223342217,352.4242730709111,0.0,-654.8117608129978,568.2847223342217,-302.3874877420867,5.6828472233422165e-06,-3.0985568765991565e-06,-3.098556876570853e-06,0.0002847658668912972,0.00017371578828661156,0.2986904500588669,-0.16286014943405167,943.4192430053372,968.0443860124797,0.29869045005569456
50,100000000,100000000.0,190258,190953.15084515346,190621.23397875478,110337.93447053348,1896.834779963466,1911.4472929469773,1896.834779963466,0.003,0.003,189927.29145244378,379854.58290488756,569.7818743573314,334.2128570778822,0.0,-725.9196968078613,569.7818743573314,-391.70683972997915,5.697818743573314e-06,-4.021115251242822e-06,-4.02111525119556e-06,0.00029046366940227826,0.0001696946649506878,0.2994773531622134,-0.21134981760532276,941.4332929882221,966.4919690112583,0.2994773531629086
51,100000000,100000000.0,190258,190121.82819484652,189952.37593547106,141446.79067462977,1898.1933583998189,1907.0990417741464,1898.1933583998189,0.003,0.003,190088.42637307686,380176.8527461537,570.2652791192306,427.1602696491888,0.0,-324.0894458293915,570.2652791192306,103.07082381979734,5.702652791192306e-06,1.0577132760867926e-06,1.057713276072917e-06,0.0002961663059333109,0.00017075237766738536,0.2997314307050676,0.055593409791121824,952.1022410190199,976.4518220035825,0.2997314307024479
52,100000000,100000000.0,190258,190510.2416576298,189985.81728012796,148717.61574727442,1895.6800896376851,1903.9837033649105,1895.6800896376851,0.003,0.003,189734.26997715925,379468.5399543185,569.2028099314778,448.89660223719227,0.0,-207.62665452063084,569.2028099314778,241.26994771656143,5.692028099314777e-06,2.477547050275465e-06,2.4775470503370033e-06,0.00030185831783308267,0.0001732299216484544,0.29917299689998467,0.13021987296247844,949.3368540133815,973.5477679932956,0.29917299689912796
53,100000000,100000000.0,190258,191088.9614767859,190522.32215913018,123982.09521154487,1887.4366143755606,1899.151343129011,1887.4366143755606,0.003,0.003,189693.82474641458,379387.64949282916,569.0814742392438,374.9736594817044,0.0,-461.7934455871582,569.0814742392438,-86.81978610545383,5.690814742392438e-06,-8.934691335627134e-07,-8.934691335228441e-07,0.0003075491163827897,0.00017233645211574348,0.2991092228601465,-0.046960737660056213,948.6537239863537,973.0345050047617,0.2991092228629589
