bin_start_ts,start_block,end_block,num_swaps,total_eth,total_usdc,vwap
1708231200,19252382,19252430,53,248.07341859375887,693186.7722969999,2794.280726352837
1708231800,19252431,19252474,44,154.17057390731568,431191.735762,2796.8484830394677
1708232400,19252480,19252529,49,41.66581182823921,116614.38232599999,2798.8025964002463
1708233000,19252530,19252578,51,150.2659956854525,420823.935124,2800.5267140071974
1708233600,19252579,19252623,52,272.43614177284155,763330.9239990001,2801.8709963800206
1708234200,19252627,19252674,41,190.4969858118992,533496.7908059999,2800.5523999880293
1708234800,19252675,19252722,34,204.44620013821825,573209.946824,2803.720227798192
1708235400,19252725,19252773,58,195.85624769415944,548668.660286,2801.384519235644
1708236000,19252775,19252822,72,195.45471253300747,548373.96468,2805.631839587358
1708236600,19252823,19252872,43,332.0811554141245,929955.300113,2800.385643543343
1708237200,19252873,19252918,74,313.4124110574182,875755.7890179999,2794.260080713774
1708237800,19252921,19252968,52,458.4224351845369,1277781.023666,2787.3439988852906
1708238400,19252969,19253018,51,303.3749682694556,844443.306037,2783.4969735768414
1708239000,19253019,19253068,57,726.8100352036694,2027020.172129,2788.9270565189445
1708239600,19253069,19253116,60,296.8887632203115,827679.4705149999,2787.8437079843466
1708240200,19253120,19253165,35,300.81305059915013,840655.479399,2794.611063996753
1708240800,19253168,19253215,64,396.03125183378404,1109587.011492,2801.7662908019647
1708241400,19253216,19253263,47,164.9727232828842,462791.479329,2805.260591688458
1708242000,19253270,19253314,48,146.55057038234673,410790.65430399997,2803.0641793631885
1708242600,19253317,19253362,49,208.5360632983464,584197.031,2801.4196765775064
1708243200,19253366,19253412,57,367.76393613834824,1030589.9266460001,2802.313727298984
1708243800,19253413,19253462,45,205.15153275825347,574306.5001610001,2799.4258314304266
1708244400,19253463,19253510,34,87.97293221657337,246415.83942100004,2801.0415614472076
1708245000,19253511,19253560,44,125.35301773393505,351403.25338899996,2803.309084547627
1708245600,19253561,19253610,35,113.87316363056517,319044.484656,2801.753060019173
1708246200,19253612,19253659,36,76.8724078057253,215484.062031,2803.1392300808243
1708246800,19253663,19253709,67,1165.7030878874027,3280714.900814,2814.365797691779
1708247400,19253710,19253759,42,85.71001232850469,241223.507778,2814.4145733342284
1708248000,19253761,19253809,43,388.00806120637696,1092956.265277,2816.839067412234
1708248600,19253811,19253857,60,325.0549826037874,914126.413216,2812.2208922735917
1708249200,19253859,19253906,40,241.6571488134357,680215.463741,2814.7955360763626
1708249800,19253907,19253956,41,82.27326033385734,231897.139838,2818.6210063510634
1708250400,19253958,19254005,43,190.58659334305815,537445.593892,2819.9548796414642
1708251000,19254007,19254055,48,356.3535215606532,1003389.9508449999,2815.714985643036
1708251600,19254059,19254105,53,151.90979101350732,427277.61471,2812.7062242617917
1708252200,19254106,19254154,50,312.3044674716919,877459.008288,2809.626821516843
1708252800,19254157,19254202,43,254.46227316932226,715407.6716160001,2811.448874937776
1708253400,19254205,19254254,41,172.70579803148797,485597.98079000006,2811.7063024222566
1708254000,19254257,19254304,49,149.53381159919982,420220.66026800004,2810.204968186932
1708254600,19254305,19254354,73,585.2191568003178,1640404.885594,2803.0608132565308
1708255200,19254357,19254402,40,64.91270099536067,182059.39725,2804.6806627721726
1708255800,19254404,19254450,33,43.005887279374925,120733.675819,2807.3755352305525
1708256400,19254451,19254499,40,57.15611700719971,160217.892604,2803.162653331017
